Дата,Название поста,Тексты,Визуал,Охват,Просмотры,Лайки,Комментарии,Репосты,Сохранения,Weighted_ER,ER_Reach,ER_Views,Virality,Comment_Rate,CTR,Quality_Index,Weighted_ER_clean,ER_Reach_clean,ER_Views_clean,Comment_Rate_clean,Длина_текста,Количество_слов,Количество_абзацев,Количество_эмодзи,Количество_восклицаний,Количество_вопросов,Есть_списки,Есть_вопросы,Есть_призыв_к_действию,Есть_ссылки_цитаты,Есть_визуал
2025-09-30 18:17:00,Вчера мы затронули тему синдрома,"Вчера мы затронули тему синдрома самозванца и судя по откликам, она болит у многих.  Сегодня я хочу дать вам инструмент, который работает как личный коуч. Этот промпт помогает нейросети составить для вас персональный мотивационный план: какие именно признаки самозванца у вас проявляются,что с ними делать как начать действовать без страха. Копируйте промпт ниже, прогоняйте через нейросеть (подойдет любая: Qwen, Chat GPT, Claude, DeepSeek) и внимательно читайте результат. Совет: будьте предельно откровенны, от этого зависит результат. ПРОМТ (копируйте этот текст) ""Ты — эксперт по психологии мотивации, специализирующийся на работе с синдромом самозванца и внутренними блоками. Твоя задача- составить персонализированный мотивационный план для человека, который испытывает неуверенность в себе, откладывает действия из-за ощущения несоответствия и постоянно занижает свои достижения."" Если хотите получить ещё более детальный промпт, который разложит ваш синдром самозванца буквально «по косточкам» и даст расширенный план действий — пишите в комментариях слово «ХОЧУ» Я пришлю его вам в личные сообщения.",,1000,2700,47,266,10,0,60.9,32.3,11.96,1.0,2025-06-26 00:00:00,270.0,110.78,60.9,32.3,11.96,26.6,1109,150,1,0,0,0,1,0,1,1,0
2025-11-15 12:35:00,Первый снег выпал а у вас всё ещё летняя,"Первый снег выпал,а у вас всё ещё летняя аватарка? Ну всё, коллеги, так бизнес не ведут!  Смотрите.Ваши клиенты листают ленту. Ноябрь. Снег. Огни. А у вас все еще август 2022, пальмы, солнышко... Это не просто визуал устарел Это восприятие вас устарело. А эксперт, который выглядит «вчера», продаёт… тоже «вчера».Печально, но правда. Чтобы этого не было, держите зимнюю нейрофотосессию с промтами. Зачем? Потому что визуал — это ваша цена. Красивые фото → дороже воспринимают → легче покупают. Потому что ноябрь — месяц, когда клиенты выбирают глазами. Потому что вы можете делать себе фотосессию, не выходя из тёплой квартиры. Даже если чайник вскипел, дети кричат, свет выключили. Неважно, нейросеть всё равно сделает вам лицо, как будто вы только что вышли с обложки Vogue. Как пользоваться: Сохраняете промт из карусели. Подгружаете своё фото (да-да, то самое, где вы в кофте «для дома» с пятном от кофе, нейросеть всё исправит). Получаете серию зимних кадров, которыми можно закрыть ленту на неделю вперёд. Делитесь своими шедеврами в комментариях. Посмотрим, кто у нас тут будущая снежная королева бизнеса  И еще.Если вы хотите не просто картинки, а системно использовать нейросети, чтобы: экономить часы на контент повышать конверси работать быстрее, чем конкуренты и выглядеть дороже, чем стоите сейча тогда вам жизненно необходимо попасть на мой БЕСПЛАТНЫЙ ПРАКТИКУМ ПО ИИ. Там я объясняю так, что поймёт даже тот, кто до этого боялся нажать кнопку «начать диалог с ChatGPT» И даю промты, которые работают, а не «ну там что-то попробуйте». Ссылка в комментариях. Кто идёт — ставьте сердечко, чтобы я вас не потеряла.",,759,2000,78,18,35,0,28.85,17.26,6.55,4.61,2.37,263.5,91.52,28.85,17.26,6.55,2.37,1625,252,1,0,1,2,1,1,1,1,0
2025-11-07 09:03:00,Запись от 2025-11-07 09:03:30,"Сегодня моему Валентину 30 лет  Пипец, вроде только вчера мне было 20 и меня в роддом привезли Помню, как в школу вызывали чуть ли не каждую неделю. ""Ваш сын опять..."" - и дальше список. В 9 классе нам светила годовая двойка по русскому (РУССКОМУ, Карл!). А травматология? Мы там были VIP-клиентами. Этот ребенок умудрялся ломать и прошибать себе ВСЁ. Я уже думала - может, каску ему круглосуточно носить?  А потом БАЦ - после двух курсов судомеханики заявляет: ""Мам, буду программистом"" Я орала. Реально орала. Год потеряли! Бюджет! Перевод! А потом еще и армия посреди учебы - военно-космические войска на годик. И знаете что? Сейчас этот ""двоечник по русскому"" зарабатывает больше всех одноклассников. Онлайн-школы в очередь стоят, чтобы он их проекты вел. Клиенты его обожают. С сестрой - душа в душу. У него семья, они оба неформальные - в дредах и татушках, 4 кошки (ЧЕТЫРЕ!) и скоро я стану бабушкой  Внук будет - Паша или Данила, еще не решили. Вот сижу и думаю - хорошо, что тогда хватило мозгов не душить его ""правильным путем"". Пусть был свой, кривой, через ошибки и сломанные кости, но СВОЙ. Горжусь тобой, мой хороший. И как человеком, и как профессионалом. Ты крутой  P.S. А с русский языком до сих пор проблемы Зато код пишет - загляденье!",,652,1900,73,8,1,0,2025-11-14 00:00:00,12.58,4.32,0.15,1.23,291.41,93.33,14.11042944785276,12.58,4.32,1.23,1254,210,1,0,6,3,0,1,1,1,0
2025-10-24 10:00:00,Привет смельчаки,"Привет, смельчаки!  Сегодня вы сделаете то, что раньше казалось сложным — напишете пост с помощью искусственного интеллекта. Но это будет не просто текст, это будет пост про вас, вашу историю и ваш первый шаг в мир технологий! Мы всё разложили по шагам. Просто следуйте инструкции  НАПОМИНАНИЕ: Если вы ещё не сделали репост анонсного поста челленджа, сделайте это сейчас! Это обязательное условие для участия в конкурсе на главный приз — интенсив ""НейроЭпоха ВК"". ШАГ 1: Выберите сервис для работы с ИИ Вам нужен чат-бот, который умеет помогать с текстами. Можете работать в ЯндексGPT (она же Алиса), либо выбрать любую другую нейросеть Вариант 1: Нейросеть: ЯндексGPT (на русском) Ссылка: alice.yandex.ru Вход через Яндекс-аккаунт Вариант 2: Qwen A Ссылка: chat.qwen.ai/ Работает из России без VPN, поддерживает русский язык Нужна регистрация через email ШАГ 2: Скопируйте готовый промт и начните диалог Ниже готовый текст, просто скопируйте его полностью и вставьте в окно чата с ИИ: КОПИРУЙТЕ  ""Ты — мой личный коуч по уверенности. Я только начинаю знакомство с искусственным интеллектом и немного волнуюсь. Твоя задача — провести со мной диалог и затем написать пост Задай мне по очереди 4 вопроса (по одному за раз, жди мой ответ перед следующим вопросом): 1. Расскажи, кто ты? (профессия, род занятий, семья, увлечения) 2. О чём ты мечтаешь? Что хочешь изменить в своей жизни? 3. Были ли у тебя страхи или сомнения по поводу искусственного интеллекта и технологий? 4. Что ты чувствуешь сейчас, когда общаешься со мной (с ИИ) в первый раз? После того как я отвечу на все 4 вопроса, собери всю информацию обо мне и напиши короткий вдохновляющий пост (5-7 предложений) ОБО МНЕ и моём первом опыте с ИИ. В посте обязательно отрази - Кто я и чем занимаюсь Что я преодолел страх или сомнени - Что я молодец, потому что сделал первый ша - Что этот пост написан с помощью нейросети Как ИИ может помочь именно мне в моей ситуации Пиши от первого лица (от моего имени), тепло и вдохновляюще. В конце добавь призыв к действию и хэштег про преодоление и развитие"". ШАГ 3: Проведите диалог с ИИ Что будет происходить- ИИ задаст вам 4 простых вопроса о вас Отвечайте честно и развернут - После ваших ответов ИИ напишет пост от вашего имени про вас и ваш первый опыт работы с нейросетью Готово! ШАГ 4: Опубликуйте пост у себя на стене во ВКонтакт Скопируйте текст, который написал ИИ Зайдите на свою страницу ВКонтакте Нажмите ""Что у вас нового?"" Вставьте текст от И ✓ Добавьте подпись в конце: ""#НейроДвиж День 1. Мой первый пост с помощью ИИ! @neyronatela ✓ Нажмите ""Опубликовать"" ШАГ 5: В комментариях под этим постом поделитесь ссылкой на свой пост и напишите, какие эмоции вы испытали от первого общения с ИИ. Так мы все сможем поддержать друг друга и вдохновиться вашими историями. Вечером в 21:00 опубликуем лучшие работы дня!  Если возникли вопросы — пишите в комментариях или личные сообщения, обязательно поможем!",,661,2000,29,20,8,0,2025-07-14 00:00:00,8.62,2.85,1.21,2025-03-03 00:00:00,302.57,97.13,14.069591527987896,8.62,2.85,3.0257186081694405,2915,478,1,2,7,6,1,1,1,1,0
2025-10-25 10:00:00,ЗАДАНИЕ ДНЯ 2 МОЙ ПЕРВЫЙ ВИЗУ,"📢 ЗАДАНИЕ ДНЯ 2: МОЙ ПЕРВЫЙ ВИЗУАЛ С ИИ 🎨 Сегодня ты сделаешь иллюстрацию, которая отражает твою личную историю первого шага с ИИ! ШАГ 1. Внимательно перечитай пост, который ты вчера написал с помощью искусственного интеллекта. Почувствуй Какую главную эмоцию этот пост вызывает? О чём твоя история? (про преодоление, мечту, радость, удивление, открытие, новый опыт) ШАГ 2. Сформулируй свой промт для изображения Скопируй и дополни шаблон промта: КОПИРУЙ 👇 ""Создай иллюстрацию к моему первому посту о знакомстве с ИИ. Атмосфера — [напиши своё главное чувство или идею, например: преодоление страха, открытие нового, радость, мечта, удивление]. Пусть на картинке будет/видно: [предметы, сцена или ситуация из твоей истории, например: я делаю первый шаг, свет, окно, ноутбук, открытую дверь и т.д.]. Цвета: [твои любимые или подходящие оттенки]. Стиль: [современный, минимализм, дудл, акварель или другой на твой вкус]. Без текста. ШАГ 3. Введи промт в генератор Выбери генератор (все работают в РФ): Шедеврум от Яндекса: shedevrum.ai/ Leonardo AI: leonardo.ai/ Скопируй персональный промт в поле для текста → нажми «Создать» → выбери и скачай понравившийся вариант. ШАГ 4. Опубликуй новый пост ✓ Зайди на свою страницу ВКонтакте ✓ Прикрепи сгенерированную картинку к новому посту ✓ Добавь подпись, например: ""Вчера рассказала о своём первом шаге с ИИ, а сегодня создала для этого поста персональную иллюстрацию с помощью нейросети!"" Эта картинка отображает мою [эмоцию/идею из первого поста, например: радость, open your dream, смелость начинать с нуля]. #НейроДвиж День 2 @neyronatela Опубликуй пост ШАГ 5. Оставь ссылку на свой пост в комментариях к этому заданию! Вечером посмотрим лучшие работы! Важно: 📣 Используй в промте свои эмоции и историю — так визуал получится реально “про тебя”. ❓ Если не понимаешь, как сформулировать промт — напиши свою эмоцию в чате, тебе обязательно помогут!",,556,1600,14,23,4,0,12.95,7.37,2.56,0.72,4.14,287.77,92.41,12.95,7.37,2.56,4.14,1892,283,1,8,5,2,1,1,1,1,0
2025-09-21 16:39:00,Я в шоке дорогая редакция,"🔮 Я в шоке, дорогая редакция! Представьте: вы пишете пару строк от руки и нейросеть выдает про вас почти всё: пол, возраст, характер, даже профессию! Я рискнула и загрузила свой почерк. Результат? Совпадение 95%! ✅ Мне 49 — угадали. ✅ 22 года в журналистике — угадали. ✅ Девочка я — тоже угадали 😁 А дальше, ещё интереснее. Нейросеть расписала: уверенность, системность, логичность, даже наклон букв во «вправо» связала с ориентацией на будущее. И это всё про меня! 🤫 Вот кусочек расшифровки: — «Почерк разборчивый, без лишних эмоций → человек прагматичный». — «Буквы соединены → логичность и концентрация». — «Подпись уверенная → уверенность в действиях». — «Средний размер букв → баланс личности». И так целый список из 17 пунктов! Почти мистика. 🔥 Хочу устроить эксперимент вместе с вами! Скопируйте промт ниже, загрузите его и фото своего почерка в нейросеть и смотрите, что она скажет про вас. 👇 ПРОМТ ДЛЯ АНАЛИЗА: ""Ты — лучший графолог в мире. Сейчас ты покажешь, как может работать графолог в учебных целях. Проанализируй почерк на изображении. Дай своё заключение: возраст, пол, профессия человека, написавшего текст. А также психологические особенности, тип личности, основные поведенческие характеристики, состояние человека в момент написания текста. Дай подробный развернутый анализ, объясни каждый из своих выводов."" ✍ Делитесь в комментариях: что вам выдало и насколько совпало с реальностью? Если хочешь — могу ещё сильнее уплотнить текст, сделать более «вирусный», подкорректировать стиль или адаптировать под ВК/Telegram.",,1100,3200,49,18,16,0,2025-09-12 00:00:00,7.55,2.59,1.45,1.64,290.91,92.58,12.090909090909092,7.55,2.59,1.64,1538,231,1,8,6,2,1,1,1,1,0
2025-10-23 12:09:00,24 октября запускаем,"🚀 24 октября запускаем #НейроДвиж — 3-дневное приключение, после которого ты перестанешь бояться нейросетей. #НейроДвиж рассчитан на новичков, которые никогда раньше не работали с нейросетями. Если ты не знаешь, с чего начать, если тебе кажется, что “это сложно”, значит, это точно для тебя. Тебе не нужны технические знания, английский язык или суперкомпьютер. Подойдет любое устройство с выходом в интернет. Каждый день — одно простое задание, которое ты выполняешь вместе с нашей командой. 💡 Всего 15 минут в день и без каких-либо сложностей. За 3 дня ты: ✨ Напишешь свой первый пост с ИИ, ✨ Сделаешь к нему визуал, ✨ Превратишь свои умения в готовое предложение ✨ И поймёшь: да, я реально могу зарабатывать на этом. 🏆 А теперь самое интересное: тот, кто сможет заработать на полученных знаниях больше всех, получит мой супер-интенсив “НейроЭпоха ВК” — в подарок 💎 💬 Хочешь участвовать? Пиши в комментариях «иду». Условия участия: ✅ Сделай репост с подписью ""Иду на #НейроДвиж к @neyronatela"", пусть друзья тоже не проспят этот старт. ✅ Жди завтра в 10.00 следующий пост с первым заданием. #НейроДвиж — это не просто про нейросети. Это про тебя, твою смелость и первые реальные деньги 💸 Если нужно — могу сделать версию для сторис, сжатую версию или вариант в более вирусном стиле.",,944,2200,43,23,8,0,11.97,7.84,3.36,0.85,2.44,233.05,75.28,11.97,7.84,3.36,2.44,1284,207,1,12,0,1,1,1,1,1,0
2025-09-26 13:28:00,Как думаете существует ли кнопк,"Как думаете, существует ли кнопка: ""сделай красиво презентацию"", чтобы сразу все купили? Спойлер: нет)) Но есть система, по которой презентации начинают продавать, а делать их вы начинаете в разы быстрее. Я как раз рассказывала об этом в эфире, прямо из Вьетнама, пока за спиной шумит волна. 😉 Если вы эксперт, продюсер или фрилансер, которому нужно делать презентации «ещё вчера» — этот эфир снимет боль «долго, сложно, некрасиво и не продаёт». 👉 Посмотрите запись и заберите себе пошаговый подход, который значительно облегчит вашу жизнь. А если хотите углубиться в тему, тогда жду вас на интенсиве: ritoriks.ru/site После просмотра напишите в комментариях: какая ошибка из «чёрного списка» чаще всего встречается у вас или ваших клиентов?👇 Если нужно, могу сделать версию в более продающем стиле, для Telegram, ВК или сторис.","Видео, запись эфира",534,1500,22,0,12,0,10.86,6.37,2.27,2.25,0.0,280.9,88.84,10.86,6.37,2.27,0.0,828,127,1,3,0,2,1,1,1,1,1
2025-08-23 13:05:00,Если ты до сих пор публикуешь посты и,"Если ты до сих пор публикуешь посты и ждёшь откликов, а в ответ тишина, знай: ты не один. Но это не оправдание. 📺 Смотри 13-минутный урок из интенсива ""Тройной нейроудар"" и ты поймешь: ⚠ Почему твои статусы не работают ⚠ Почему ты не знаешь свою аудиторию (да, даже если думаешь, что знаешь) ⚠ Почему твоя ""уникальность"" не отличает тебя ни от кого ⚠ И почему кто-то зарабатывает 14 000₽ в час, а ты — 300₽ Это жёстко. Местами больно. Но после этого ты наконец увидишь, почему твои старания не дают результата, и что с этим делать. Если зацепит — пиши в ЛС ""ТРОЙНОЙ"", расскажу, как попасть. Только учти: мы берём не больше 100 человек, а мест уже осталось заметно меньше. P.S. Если после просмотра решишь, что «всё и так нормально», значит, этот интенсив просто не для тебя. И это тоже ок. 👇 Делитесь в комментариях, что-то поняли про себя из видео? Если хочешь, могу сделать более цепкую или продающую версию — скажи.","Видео, запись эфира",775,2400,31,15,6,0,10.19,6.71,2.17,0.77,1.94,309.68,97.44,10.19,6.71,2.17,1.94,918,162,1,6,0,1,1,1,1,1,1
2025-09-22 08:00:00,Вижу много новеньких Давайте знакомиться,"Вижу много новеньких! Давайте знакомиться 🥰 Я — Натэла Зубченко. 22 года проработала на телевидении, получила 2 ТЭФИ и доросла до замгендиректора телеканала. Казалось бы, карьера удалась. Но в 2018-м я решила: хватит. Хочу новый виток. Сначала я открыла школу ораторского искусства, где за 6 лет обучила более 7500 учеников из 35 стран 🎤. А потом… в мою жизнь ворвались нейросети. И это была любовь с первого взгляда. Позже родилась моя ""Школа нейрофриланса"". Сегодня через неё уже прошло больше 19 000 учеников из 43 стран. Я автоматизировала бизнес с помощью ИИ (в команде всего 7 человек, остальное делают нейросети), и теперь учу этому других. Но моя история — это не только про работу. ✨ Я интроверт, который ведёт прямые эфиры и кайфует от этого. ✨ Мой главный талант — объяснять сложное простыми словами. ✨ Мама двоих детей — и да, воспитывала их «по телефону», пока работала 24/7. Но они выросли офигенные! ❤ ✨ После двух браков я закрыла тему личной жизни… а потом в 45 в мою жизнь вошёл он. И с тех пор мы смеёмся, путешествуем и строим отношения «без розовых очков». Я люблю честные истории, драйв и технологии, которые делают жизнь проще. Здесь будет именно так: про нейросети без заумных слов, про жизнь без глянца и про то, что новый шанс возможен в любом возрасте. А теперь расскажите про себя! Напишите в комментариях: чем занимаетесь, какие у вас мечты и зачем вы пришли сюда? 🚀 Если нужно — могу уплотнить ещё сильнее, сделать версию для сторис или адаптировать под Телеграм.",,1300,4700,69,24,2,0,9.46,7.31,2025-02-02 00:00:00,0.15,1.85,361.54,112.63,9.46,7.31,,1.85,1493,252,1,7,3,1,1,1,1,1,0
